Date,ipca,igp-m
2014-04-01,0.0067,0.0078000000000000005
2014-05-01,0.0046,-0.0013
2014-06-01,0.004,-0.0074
2014-07-01,0.0001,-0.0060999999999999995
2014-08-01,0.0025,-0.0027
2014-09-01,0.005699999999999999,0.002
2014-10-01,0.0042,0.0028000000000000004
2014-11-01,0.0051,0.0098
2014-12-01,0.0078000000000000005,0.0062
2015-01-01,0.0124,0.0076
2015-02-01,0.012199999999999999,0.0027
2015-03-01,0.0132,0.0098
2015-04-01,0.0070999999999999995,0.011699999999999999
2015-05-01,0.0074,0.0040999999999999995
2015-06-01,0.0079,0.0067
2015-07-01,0.0062,0.0069
2015-08-01,0.0022,0.0028000000000000004
2015-09-01,0.0054,0.0095
2015-10-01,0.008199999999999999,0.0189
2015-11-01,0.0101,0.0152
2015-12-01,0.0096,0.0049
2016-01-01,0.0127,0.011399999999999999
2016-02-01,0.009000000000000001,0.0129
2016-03-01,0.0043,0.0051
2016-04-01,0.0060999999999999995,0.0033
2016-05-01,0.0078000000000000005,0.008199999999999999
2016-06-01,0.0034999999999999996,0.0169
2016-07-01,0.0052,0.0018
2016-08-01,0.0044,0.0015
2016-09-01,0.0008,0.002
2016-10-01,0.0026,0.0016
2016-11-01,0.0018,-0.0003
2016-12-01,0.003,0.0054
2017-01-01,0.0038,0.0064
2017-02-01,0.0033,0.0008
2017-03-01,0.0025,0.0001
2017-04-01,0.0014000000000000002,-0.011000000000000001
2017-05-01,0.0031,-0.009300000000000001
2017-06-01,-0.0023,-0.0067
2017-07-01,0.0024,-0.0072
2017-08-01,0.0019,0.001
2017-09-01,0.0016,0.004699999999999999
2017-10-01,0.0042,0.002
2017-11-01,0.0028000000000000004,0.0052
2017-12-01,0.0044,0.0089
2018-01-01,0.0029,0.0076
2018-02-01,0.0032,0.0007000000000000001
2018-03-01,0.0009,0.0064
2018-04-01,0.0022,0.005699999999999999
2018-05-01,0.004,0.0138
2018-06-01,0.0126,0.0187
2018-07-01,0.0033,0.0051
2018-08-01,-0.0009,0.006999999999999999
2018-09-01,0.0048,0.0152
2018-10-01,0.0045000000000000005,0.0089
2018-11-01,-0.0021,-0.0049
2018-12-01,0.0015,-0.0108
2019-01-01,0.0032,0.0001
2019-02-01,0.0043,0.0088
2019-03-01,0.0075,0.0126
2019-04-01,0.005699999999999999,0.0092
2019-05-01,0.0013,0.0045000000000000005
2019-06-01,0.0001,0.008
2019-07-01,0.0019,0.004
2019-08-01,0.0011,-0.0067
2019-09-01,-0.0004,-0.0001
2019-10-01,0.001,0.0068000000000000005
2019-11-01,0.0051,0.003
2019-12-01,0.0115,0.0209
2020-01-01,0.0021,0.0048
2020-02-01,0.0025,-0.0004
2020-03-01,0.0007000000000000001,0.0124
2020-04-01,-0.0031,0.008
2020-05-01,-0.0038,0.0028000000000000004
2020-06-01,0.0026,0.015600000000000001
2020-07-01,0.0036,0.0223
2020-08-01,0.0024,0.0274
2020-09-01,0.0064,0.0434
2020-10-01,0.0086,0.0323
2020-11-01,0.0089,0.032799999999999996
2020-12-01,0.013500000000000002,0.0096
2021-01-01,0.0025,0.0258
2021-02-01,0.0086,0.0253
2021-03-01,0.009300000000000001,0.0294
2021-04-01,0.0031,0.0151
2021-05-01,0.0083,0.040999999999999995
2021-06-01,0.0053,0.006
2021-07-01,0.0096,0.0078000000000000005
2021-08-01,0.0087,0.0066
2021-09-01,0.0116,-0.0064
2021-10-01,0.0125,0.0064
2021-11-01,0.0095,0.0002
2021-12-01,0.0073,0.0087
2022-01-01,0.0054,0.0182
2022-02-01,0.0101,0.0183
2022-03-01,0.016200000000000003,0.0174
2022-04-01,0.0106,0.0141
2022-05-01,0.004699999999999999,0.0052
2022-06-01,0.0067,0.0059
2022-07-01,-0.0068000000000000005,0.0021
2022-08-01,-0.0036,-0.006999999999999999
2022-09-01,-0.0029,-0.0095
2022-10-01,0.0059,-0.0097
2022-11-01,0.0040999999999999995,-0.005600000000000001
2022-12-01,0.0062,0.0045000000000000005
2023-01-01,0.0053,0.0021
2023-02-01,0.0084,-0.0006
2023-03-01,0.0070999999999999995,0.0005
2023-04-01,0.0060999999999999995,-0.0095
2023-05-01,0.0023,-0.0184
2023-06-01,-0.0008,-0.019299999999999998
2023-07-01,0.0012,-0.0072
2023-08-01,0.0023,-0.0014000000000000002
2023-09-01,0.0026,0.0037
2023-10-01,0.0024,0.005
2023-11-01,0.0028000000000000004,0.0059
2023-12-01,0.005600000000000001,0.0074
2024-01-01,0.0042,0.0007000000000000001
2024-02-01,0.0083,-0.0052
2024-03-01,0.0016,-0.004699999999999999
2024-04-01,0.0038,0.0031
2024-05-01,0.0046,0.0089
2024-06-01,0.0021,0.008100000000000001
2024-07-01,0.0038,0.0060999999999999995
2024-08-01,-0.0002,0.0029
2024-09-01,0.0044,0.0062
2024-10-01,0.005600000000000001,0.0152
2024-11-01,0.0039000000000000003,0.013000000000000001
2024-12-01,0.0052,0.009399999999999999
2025-01-01,0.0016,0.0027
2025-02-01,0.0131,0.0106
